DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,Indicator_0,Indicator_1,Indicator_2,Indicator_3,Signal,Remark,Stop Loss,Target,Entry_Price,Exit_Price,PNL,PNL%,Total PNL
2022-10-12,EQ,1403.2,1414.85,1397.3,1400.65,1410.75,1409.8,1406.74,1725.0,1271.6,4612525,6488607643.5,112637,HDFCBANK,1414.85,1439.0799999999988,1414.85,1439.0799999999988,Hold,,,,,,,,
2022-10-13,EQ,1402.05,1406.25,1384.0,1409.8,1396.0,1393.6,1392.46,1725.0,1271.6,7357117,10244525589.7,219960,HDFCBANK,1406.25,1443.5399999999988,1406.25,1443.5399999999988,Hold,,,,,,,,
2022-10-14,EQ,1417.0,1447.0,1415.25,1393.6,1446.0,1439.0,1434.65,1725.0,1271.6,6424960,9217592931.3,149782,HDFCBANK,1447.0,1450.0499999999988,1447.0,1450.0499999999988,Hold,,,,,,,,
2022-10-17,EQ,1435.0,1457.6,1427.0,1439.0,1445.45,1446.55,1443.39,1725.0,1271.6,9205250,13286764094.4,185541,HDFCBANK,1457.6,1455.819999999999,1457.6,1455.819999999999,Hold,,,,,,,,
2022-10-18,EQ,1458.05,1462.9,1440.0,1446.55,1442.85,1443.85,1449.88,1725.0,1271.6,5280554,7656144753.65,144735,HDFCBANK,1462.9,1462.489999999999,1462.9,1462.489999999999,Hold,,,,,,,,
2022-10-19,EQ,1464.0,1477.4,1453.4,1443.85,1459.95,1458.65,1464.96,1725.0,1271.6,6483520,9498087668.1,186569,HDFCBANK,1477.4,1469.5249999999992,1477.4,1469.5249999999992,Buy,crossover,1458.5128869159842,1458.855669626024,1458.65,,,,
2022-10-20,EQ,1444.0,1452.9,1442.5,1458.65,1449.05,1448.8,1447.55,1725.0,1271.6,3949039,5716441334.25,149480,HDFCBANK,1452.9,1474.414999999999,1452.9,1474.414999999999,Sell,Stop Loss,1458.5128869159842,1458.855669626024,1458.65,1448.8,-9.850000000000136,-0.6752819387790172,-1646.0999999999992
2022-10-21,EQ,1452.0,1457.65,1434.0,1448.8,1442.3,1438.6,1446.76,1725.0,1271.6,5246303,7590143970.3,112584,HDFCBANK,1457.65,1479.249999999999,1457.65,1479.249999999999,Hold,,,,,,,,
2022-10-24,EQ,1454.3,1463.0,1454.3,1438.6,1458.85,1461.05,1460.44,1722.1,1271.6,1083897,1582962572.75,44924,HDFCBANK,1463.0,1486.269999999999,1463.0,1486.269999999999,Hold,,,,,,,,
2022-10-25,EQ,1461.1,1467.8,1445.0,1461.05,1447.4,1450.9,1456.91,1722.1,1271.6,6886697,10033274401.0,174010,HDFCBANK,1467.8,1490.999999999999,1467.8,1490.999999999999,Hold,,,,,,,,
